"","Date","ActiveCameras","Site","Status","MonthDay","Year","Active"
"1",2020-03-03,2,"MS001","Active","03-03","2020","1"
"2",2020-03-03,2,"MS002","Inactive","03-03","2020","0"
"3",2020-03-03,2,"MS004","Active","03-03","2020","1"
"4",2020-03-03,2,"MS007","Inactive","03-03","2020","0"
"5",2020-03-03,2,"MS016","Inactive","03-03","2020","0"
"6",2020-03-03,2,"MS017","Inactive","03-03","2020","0"
"7",2020-03-03,2,"MS021","Inactive","03-03","2020","0"
"8",2020-03-03,2,"MS023","Inactive","03-03","2020","0"
"9",2020-03-03,2,"MS024","Inactive","03-03","2020","0"
"10",2020-03-03,2,"MS026","Inactive","03-03","2020","0"
"11",2020-03-04,2,"MS001","Active","03-04","2020","1"
"12",2020-03-04,2,"MS002","Inactive","03-04","2020","0"
"13",2020-03-04,2,"MS004","Active","03-04","2020","1"
"14",2020-03-04,2,"MS007","Inactive","03-04","2020","0"
"15",2020-03-04,2,"MS016","Inactive","03-04","2020","0"
"16",2020-03-04,2,"MS017","Inactive","03-04","2020","0"
"17",2020-03-04,2,"MS021","Inactive","03-04","2020","0"
"18",2020-03-04,2,"MS023","Inactive","03-04","2020","0"
"19",2020-03-04,2,"MS024","Inactive","03-04","2020","0"
"20",2020-03-04,2,"MS026","Inactive","03-04","2020","0"
"21",2020-03-05,2,"MS001","Active","03-05","2020","1"
"22",2020-03-05,2,"MS002","Inactive","03-05","2020","0"
"23",2020-03-05,2,"MS004","Active","03-05","2020","1"
"24",2020-03-05,2,"MS007","Inactive","03-05","2020","0"
"25",2020-03-05,2,"MS016","Inactive","03-05","2020","0"
"26",2020-03-05,2,"MS017","Inactive","03-05","2020","0"
"27",2020-03-05,2,"MS021","Inactive","03-05","2020","0"
"28",2020-03-05,2,"MS023","Inactive","03-05","2020","0"
"29",2020-03-05,2,"MS024","Inactive","03-05","2020","0"
"30",2020-03-05,2,"MS026","Inactive","03-05","2020","0"
"31",2020-03-06,2,"MS001","Active","03-06","2020","1"
"32",2020-03-06,2,"MS002","Inactive","03-06","2020","0"
"33",2020-03-06,2,"MS004","Active","03-06","2020","1"
"34",2020-03-06,2,"MS007","Inactive","03-06","2020","0"
"35",2020-03-06,2,"MS016","Inactive","03-06","2020","0"
"36",2020-03-06,2,"MS017","Inactive","03-06","2020","0"
"37",2020-03-06,2,"MS021","Inactive","03-06","2020","0"
"38",2020-03-06,2,"MS023","Inactive","03-06","2020","0"
"39",2020-03-06,2,"MS024","Inactive","03-06","2020","0"
"40",2020-03-06,2,"MS026","Inactive","03-06","2020","0"
"41",2020-03-07,2,"MS001","Active","03-07","2020","1"
"42",2020-03-07,2,"MS002","Inactive","03-07","2020","0"
"43",2020-03-07,2,"MS004","Active","03-07","2020","1"
"44",2020-03-07,2,"MS007","Inactive","03-07","2020","0"
"45",2020-03-07,2,"MS016","Inactive","03-07","2020","0"
"46",2020-03-07,2,"MS017","Inactive","03-07","2020","0"
"47",2020-03-07,2,"MS021","Inactive","03-07","2020","0"
"48",2020-03-07,2,"MS023","Inactive","03-07","2020","0"
"49",2020-03-07,2,"MS024","Inactive","03-07","2020","0"
"50",2020-03-07,2,"MS026","Inactive","03-07","2020","0"
"51",2020-03-08,2,"MS001","Active","03-08","2020","1"
"52",2020-03-08,2,"MS002","Inactive","03-08","2020","0"
"53",2020-03-08,2,"MS004","Active","03-08","2020","1"
"54",2020-03-08,2,"MS007","Inactive","03-08","2020","0"
"55",2020-03-08,2,"MS016","Inactive","03-08","2020","0"
"56",2020-03-08,2,"MS017","Inactive","03-08","2020","0"
"57",2020-03-08,2,"MS021","Inactive","03-08","2020","0"
"58",2020-03-08,2,"MS023","Inactive","03-08","2020","0"
"59",2020-03-08,2,"MS024","Inactive","03-08","2020","0"
"60",2020-03-08,2,"MS026","Inactive","03-08","2020","0"
"61",2020-03-09,2,"MS001","Active","03-09","2020","1"
"62",2020-03-09,2,"MS002","Inactive","03-09","2020","0"
"63",2020-03-09,2,"MS004","Active","03-09","2020","1"
"64",2020-03-09,2,"MS007","Inactive","03-09","2020","0"
"65",2020-03-09,2,"MS016","Inactive","03-09","2020","0"
"66",2020-03-09,2,"MS017","Inactive","03-09","2020","0"
"67",2020-03-09,2,"MS021","Inactive","03-09","2020","0"
"68",2020-03-09,2,"MS023","Inactive","03-09","2020","0"
"69",2020-03-09,2,"MS024","Inactive","03-09","2020","0"
"70",2020-03-09,2,"MS026","Inactive","03-09","2020","0"
"71",2020-03-10,2,"MS001","Active","03-10","2020","1"
"72",2020-03-10,2,"MS002","Inactive","03-10","2020","0"
"73",2020-03-10,2,"MS004","Active","03-10","2020","1"
"74",2020-03-10,2,"MS007","Inactive","03-10","2020","0"
"75",2020-03-10,2,"MS016","Inactive","03-10","2020","0"
"76",2020-03-10,2,"MS017","Inactive","03-10","2020","0"
"77",2020-03-10,2,"MS021","Inactive","03-10","2020","0"
"78",2020-03-10,2,"MS023","Inactive","03-10","2020","0"
"79",2020-03-10,2,"MS024","Inactive","03-10","2020","0"
"80",2020-03-10,2,"MS026","Inactive","03-10","2020","0"
