Camera ,DateSiteStart,DateSiteEnd,DateCameraStart,DateCameraEnd,DateNotFunctionalStart1,DateNotFunctionalEnd1,DateNotFunctionalStart2,DateNotFunctionalEnd2,DateNotFunctionalStart3,DateNotFunctionalEnd3,DateNotFunctionalStart4,DateNotFunctionalEnd4,DateNotFunctionalStart5,DateNotFunctionalEnd5,DateNotFunctionalStart6,DateNotFunctionalEnd6,,,,,DatePartialFunctionalBatteryStart1,DatePartialFunctionalBatteryEnd1,DatePartialFunctionalBatteryStart2,DatePartialFunctionalBatteryEnd2,DatePartialFunctionalBatteryStart3,DatePartialFunctionalBatteryEnd3,DatePartialFunctionalBatteryStart3,DatePartialFunctionalBatteryEnd3,,,,,,,DatePartialFunctionalPlacementStart1,DatePartialFunctionalPlacementEnd1,DatePartialFunctionalPlacementStart2,DatePartialFunctionalPlacementEnd2,DatePartialFunctionalPlacementStart3,DatePartialFunctionalPlacementEnd3,DatePartialFunctionalPlacementStart4,DatePartialFunctionalPlacementEnd4,,,DatePartialFunctionalPlacementStart6,DatePartialFunctionalPlacementEnd6,,,,,,,,,,
MS001,03/03/2020,09/04/2022,03/03/2020,09/04/2022,06/04/2020,16/04/2020,05/06/2020,15/06/2020,22/08/2020,20/10/2020,14/11/2020,17/11/2020,,,,,,,,,25/03/2020,06/04/2020,16/04/2020,05/06/2020,11/08/2020,22/08/2020,12/11/2021,18/11/2021,,,,,,,17/11/2020,07/03/2021,27/09/2021,12/11/2021,12/11/2021,12/11/2021,,,,,,,,,,,,,,,,"Between 17/11/2020 and 07/03/2021, maybe it's its own camera. From 07/03/2021 go back to start.  Otherwise good"
MS002,24/10/2020,30/05/2022,24/10/2020,29/05/2022,24/10/2020,7/03/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
MS003a,03/03/2020,30/05/2022,03/03/2020,30/05/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAYBE GONNA IGNORE
MS003b,03/03/2020,30/05/2022,07/06/2021,30/05/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAYBE GONNA IGNORE
MS004,03/03/2020,30/05/2022,03/03/2020,30/05/2022,30/06/2020,26/10/2020,26/04/2021,18/11/2021,,,,,,,,,,,,,28/06/2020,30/06/2020,,,,,,,,,,,,,06/05/2020,16/12/2020,,,,,,,,,,,,,,,,,,,,"DONE- bit of a dodge one, could maybe use for some behaviours, but not consistent"
MS005,17/06/2020,?,17/06/2020,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS006,17/06/2020,?,17/06/2020,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS007a,19/06/2020,29/05/2023,19/06/2020,29/05/2023,18/09/2020,21/10/2020,28/04/2021,05/06/2021,03/09/2021,18/11/2021,30/01/2022,09/02/2022,21/11/2022,09/12/2022,07/03/2023,12/03/2023,,,,,22/01/2021,10/03/2021,,,,,,,,,,,,,11/03/2021,28/04/2021,05/06/2021,03/09/2021,17/12/2021,24/01/2022,21/10/2022,21/11/2022,10/01/2023,20/02/2023,,,,,,,,,,,,
MS007b,19/06/2020,29/05/2023,10/03/2021,29/05/2023,28/04/2021,18/11/2021,17/12/2021,24/01/2022,02/04/2022,03/05/2022,,,,,,,,,,,,,,,,,,,,,,,,,27/02/2022,06/03/2022 ,13/09/2022,22/10/2022,31/05/2022,09/12/202,,,,,,,,,,,,,,,,
MS008,07/03/2021,30/05/2022,07/03/2021,30/05/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS009,08/03/2021,?,08/03/2021,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS010a,09/03/2021,30/05/2023,09/03/2021,30/05/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS010b,09/03/2021,30/05/2023,13/03/2023,30/05/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS011,09/03/2021,?,09/03/2021,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS012,10/03/2021,?,10/03/2021,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
